text1,text2,base pred,trained pred,base label,trained label,truth
intermittent fever,intermittent fever,1.001,1.001,True,True,True
omnivorous,contract expiry,-0.006397,-0.08105,False,False,False
hasty,development department,0.1655,-0.12115,False,False,False
to queue in line,ship plank,0.1663,0.11053,False,False,False
wherever,fund,0.1874,-0.0078,False,False,False
loud criticism,torrent of criticism,0.504,0.809,True,True,True
family life,mercenary spirit,0.1509,-0.03995,False,False,False
to scorn,following ...,0.2253,-0.09406,False,False,False
acrylic acid,acting according to one's own ideas and beliefs,0.04538,0.00481,False,False,False
questioning,seeing is believing,0.3115,0.05798,False,False,False
open-air,slapping together (incl. sound),0.2576,-0.0369,False,False,False
Braille block,to be treated in the same way as,0.04874,-0.007286,False,False,False
gōdō gaisha,form of business modeled after the American limited liability company,0.00611,0.23,False,False,True
pleasure,arrivals and departures,0.1451,0.02486,False,False,False
start-stop transmission,start-stop synchronization,0.4897,0.3628,True,False,False
"autumn, the best season for enjoying art",altruistic,0.202,0.06323,False,False,False
stretch (exercise),open reel,0.144,0.11255,False,False,False
circular knitting machine,to irritate,0.0839,-0.0899,False,False,False
to chant,sphere,0.1859,-0.0692,False,False,False
Arabian butterflyfish (Chaetodon melapterus),blackfin butterflyfish,0.619,0.6265,True,True,True
using up one's paid vacation days,using up one's paid vacation days,1.0,1.0,True,True,True
Brahma (Hindu creator god),good deed,0.1414,0.04602,False,False,False
in-toeing,a stationer,0.2291,-0.05246,False,False,False
violent,barren,0.2103,0.1964,False,False,False
local community newspaper,routing hierarchy,0.0843,-0.01257,False,False,False
battlefield,eastern reef heron,0.1553,0.02312,False,False,False
to play it safe,beginner,0.2048,-0.09357,False,False,False
writing (poetry),faint (possibility),0.1636,0.1652,False,False,False
hardware store,DIY store,0.6494,0.5815,True,True,True
position,put_across,0.32,0.864,False,True,True
secretive,furtive,0.268,0.6255,False,True,True
dynamics,parenting,0.2433,0.10706,False,False,False
wholly,inhalation (of air),0.1082,-0.0896,False,False,False
topic,case,0.3066,0.606,False,True,True
pull_in,caster,0.1136,0.0386,False,False,False
demerit,effector,0.2505,-0.01429,False,False,False
flat,level,0.349,0.6084,False,True,True
vigorously,leanness,0.3523,-0.02455,False,False,False
kanji aptitude test (esp. the Kanji Kentei),The Japan Kanji Aptitude Test,0.8394,0.714,True,True,True
"cross-handed grip (e.g. in golf, baseball, etc.)",land,0.08905,0.003714,False,False,False
retrospective,medical circles,0.1921,-0.0499,False,False,False
contraction,to prowl,0.2615,-0.136,False,False,False
groove,excellent,0.2256,0.0732,False,False,False
Bavarian cream,bavarois,0.3604,0.3472,False,False,True
starving,province,0.1649,-0.1125,False,False,False
thin_person,Cork (Ireland),0.10046,-0.1946,False,False,False
noblewoman,plate spring,0.09937,-0.1693,False,False,False
infidelity,feeling of clothes,0.1881,0.137,False,False,False
man of taste,art connoisseur,0.3062,0.6353,False,True,True
display command,multi-course menu,0.1265,0.2578,False,False,False
(labor) dispute,constantly,0.01261,-0.06226,False,False,False
