text1,text2,pred,truth
intermittent fever,intermittent fever,1.001,True
omnivorous,contract expiry,-0.08105,False
hasty,development department,-0.12115,False
to queue in line,ship plank,0.11053,False
wherever,fund,-0.0078,False
loud criticism,torrent of criticism,0.809,True
family life,mercenary spirit,-0.03995,False
to scorn,following ...,-0.09406,False
acrylic acid,acting according to one's own ideas and beliefs,0.00481,False
questioning,seeing is believing,0.05798,False
open-air,slapping together (incl. sound),-0.0369,False
Braille block,to be treated in the same way as,-0.007286,False
gōdō gaisha,form of business modeled after the American limited liability company,0.23,True
pleasure,arrivals and departures,0.02486,False
start-stop transmission,start-stop synchronization,0.3628,False
"autumn, the best season for enjoying art",altruistic,0.06323,False
stretch (exercise),open reel,0.11255,False
circular knitting machine,to irritate,-0.0899,False
to chant,sphere,-0.0692,False
Arabian butterflyfish (Chaetodon melapterus),blackfin butterflyfish,0.6265,True
using up one's paid vacation days,using up one's paid vacation days,1.0,True
Brahma (Hindu creator god),good deed,0.04602,False
in-toeing,a stationer,-0.05246,False
violent,barren,0.1964,False
local community newspaper,routing hierarchy,-0.01257,False
battlefield,eastern reef heron,0.02312,False
to play it safe,beginner,-0.09357,False
writing (poetry),faint (possibility),0.1652,False
hardware store,DIY store,0.5815,True
position,put_across,0.864,True
secretive,furtive,0.6255,True
dynamics,parenting,0.10706,False
wholly,inhalation (of air),-0.0896,False
topic,case,0.606,True
pull_in,caster,0.0386,False
demerit,effector,-0.01429,False
flat,level,0.6084,True
vigorously,leanness,-0.02455,False
kanji aptitude test (esp. the Kanji Kentei),The Japan Kanji Aptitude Test,0.714,True
"cross-handed grip (e.g. in golf, baseball, etc.)",land,0.003714,False
retrospective,medical circles,-0.0499,False
contraction,to prowl,-0.136,False
groove,excellent,0.0732,False
Bavarian cream,bavarois,0.3472,True
starving,province,-0.1125,False
thin_person,Cork (Ireland),-0.1946,False
noblewoman,plate spring,-0.1693,False
infidelity,feeling of clothes,0.137,False
man of taste,art connoisseur,0.6353,True
display command,multi-course menu,0.2578,False
(labor) dispute,constantly,-0.06226,False
sharpness,feeling good,0.057,False
astuteness,tact,0.7114,True
glass,chatter,0.1295,False
to take a parting shot at,to take a parting shot at,1.0,True
position,set_back,0.808,True
material mechanics,Ethiopian wolf,-0.03696,False
Red List (e.g. IUCN Red List of Threatened Species),disappointed,0.02261,False
to huddle,programmable read-only memory,-0.06396,False
bang,nth year in the Meiji era (1868.9.8-1912.7.30),0.06757,False
bed throw,gross (i.e. not net),0.00613,False
superficial knowledge,superstring theory,0.0542,False
gross,ordinary,0.1954,False
expressing one's opinion,making known,0.7017,True
Kyōwa era (1801.2.5-1804.2.11),point of view,-0.03668,False
photochemical engraving,filing,0.11035,False
disgust,Japanese alder (Alnus japonica),-0.11206,False
estriol,goggling one's eyes,-0.02904,False
circuit breaker,is it not so?,-0.02628,False
retort carbon,cave cricket,0.1974,False
returned goods,returned goods,1.001,True
disconnection,related word,0.02478,False
affiliation,ill-defined,-0.02344,False
to take into account,to take into account,1.0,True
custom,custom,1.001,True
sterilizing properties,me,-0.01496,False
to lie (buried),to sleep (in the grave),0.5347,True
